Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2022-01-03,60.63,61.17,58.35,59.3,3249786
2022-01-04,59.3,59.66,54.13,56.29,4562552
2022-01-05,55.93,57.23,53.365,53.71,2867302
2022-01-06,52.65,54.8,51.52,53.79,3978052
2022-01-07,53.73,54.8,52.3,54.05,2144493
2022-01-10,52.55,54.62,51.17,54.54,2555140
2022-01-11,54.65,56.73,53.89,56.58,1734600
2022-01-12,57.12,59.15,55.9,56.72,2492747
2022-01-13,56.85,57,53.941,54.18,1728798
2022-01-14,54,54.43,51.31,52.5,3421941
2022-01-18,51.01,52.65,50.5,50.9,2196889
2022-01-19,51.5,52.55,50.41,50.55,2187898
2022-01-20,51.62,53.26,49.72,50.14,2282755
2022-01-21,49.5,51.31,47.73,48.49,3589001
2022-01-24,47.22,50.43,45.56,50.19,2907448
2022-01-25,49.79,50.18,48.21,48.37,2580030
2022-01-26,50.36,52.22,47.68,48.08,3613639
2022-01-27,48.77,51.53,48.77,49,2831397
2022-01-28,49.33,52.52,48.04,52.45,4606286
2022-01-31,52.73,55.3,52.57,54.86,3941107
2022-02-01,55,56.98,53.775,56.28,3778056
2022-02-02,41.6,46.5,41.01,46.16,15908759
2022-02-03,44.01,45.67,43.34,44,4309594
2022-02-04,44.31,47.73,43.995,47.24,4071094
2022-02-07,46.78,48.4614,46.05,47.29,4799882
2022-02-08,46.57,46.91,45.595,46.3,2683347
2022-02-09,47,47.55,46.19,47.2,3293583
2022-02-10,46.39,47.16,45.005,45.42,4258099
2022-02-11,45.69,46.305,42.92,43.2,3835886
2022-02-14,43.09,43.95,42.49,42.72,2561717
2022-02-15,43.16,44.37,42.7,44.28,2552406
2022-02-16,43.5,44.17,42.49,43.73,2193914
2022-02-17,43.18,43.545,41.66,41.76,1454335
2022-02-18,41.76,42.22,41,41.64,2032268
2022-02-22,40.88,42.13,40.38,40.81,2053280
2022-02-23,41.6,42.59,41.04,41.09,3439800
2022-02-24,38.99,43.33,38.99,43.05,2871658
2022-02-25,43.04,43.95,41.44,43.71,2504096
2022-02-28,42.9,45.14,42.9,44.42,2674688
2022-03-01,44.51,46.43,44.35,44.66,2260737
2022-03-02,45.45,46.21,43.608,45.61,3107832
2022-03-03,45.89,45.89,42.52,43.15,2318160
2022-03-04,43.26,44.12,41.04,41.43,2058534
2022-03-07,42.22,42.425,39.72,40.02,2489623
2022-03-08,40.03,41.825,38.68,40.4,4380835
2022-03-09,41.59,43.11,41.38,42.29,3213637
2022-03-10,41.3,42.05,40.285,40.94,3636965
2022-03-11,42.14,42.18,39.89,39.92,3246816
2022-03-14,39.66,40.37,38,38.66,2647770
2022-03-15,38.67,39.825,37.66,39.6,1947920
2022-03-16,40.38,42.62,40.335,42.56,2143852
2022-03-17,42.28,43.7675,42.275,43.22,1843879
2022-03-18,43.38,45.79,43.15,45.43,3062683
2022-03-21,45.14,45.92,44.0624,45.08,2193438
2022-03-22,44.88,47.53,44.87,47.02,1812289
2022-03-23,46.03,47.92,45.29,47,2298986
2022-03-24,47.58,48.53,46.37,48.5,2263415
2022-03-25,48.59,48.89,46.56,47.39,1806872
2022-03-28,47.56,48.62,46.075,47.69,2771809
2022-03-29,48.55,49.55,47.87,48.58,4117125
2022-03-30,48.18,48.68,47.29,47.81,1767677
2022-03-31,48,48.295,47.09,47.1,2921638
2022-04-01,47,48.075,47,47.85,1495823
2022-04-04,48.2,49.2166,48.12,48.55,1196533
2022-04-05,48.79,48.89,45.48,46.28,4054843
2022-04-06,45.44,45.635,44,44.38,2945152
2022-04-07,44.05,44.96,43.52,44.53,2120139
2022-04-08,43.89,44.83,43.28,43.9,1760028
2022-04-11,43.27,44.29,42.695,43.72,3005956
2022-04-12,44.77,45.5,43,43.32,3035444
2022-04-13,43.1,44.31,42.71,44.17,2200234
2022-04-14,44.05,44.05,41.82,41.89,2101657
2022-04-18,41.8,41.8,39.47,41.02,4215183
2022-04-19,41.18,43.34,40.75,42.87,2980725
2022-04-20,43.25,43.29,41.95,42.58,2609627
2022-04-21,43.06,43.78,40.97,41.06,2396810
2022-04-22,41.29,41.63,39.85,39.9,1815780
2022-04-25,39.57,41.39,39.47,41.02,2496721
2022-04-26,40.93,40.93,38.78,38.78,3892754
2022-04-27,39,40.23,38.84,38.88,3085293
2022-04-28,39.27,40.72,38.64,40.34,3055195
2022-04-29,40.13,41.05,38.19,38.36,1667665
2022-05-02,38.1,39.73,37.88,39.71,2579851
2022-05-03,39.54,40.49,39.26,40.01,2562507
2022-05-04,40.32,41.39,38.57,41.31,2570601
2022-05-05,41.01,41.28,36.435,37.07,5127031
2022-05-06,36.76,36.8099,33.77,35.64,7623376
2022-05-09,35,35.39,31.46,31.92,6976686
2022-05-10,32.85,33.23,30.095,31.5,4085699
2022-05-11,31.24,32.63,29.89,30.11,3971870
2022-05-12,29.63,32.7,29.41,32.54,5581232
2022-05-13,33.45,35.815,33.39,35.39,4622110
2022-05-16,34.62,35.46,33.41,33.5,3639443
2022-05-17,34.04,35.12,32.06,32.81,6568687
2022-05-18,34.31,35.74,32.84,33.12,6995545
2022-05-19,33.19,37.49,32.84,36.91,8618062
2022-05-20,37.37,39,36.69,37.97,7018138
2022-05-23,37.93,38.4167,36.53,37.98,4690192
2022-05-24,37.32,37.9,36.66,37.68,2959119
2022-05-25,37.41,38.18,37.15,37.72,4899030
2022-05-26,37.49,38.28,36.98,37.6,2715339
2022-05-27,38,38.47,36.93,38.19,4408390
2022-05-31,38.19,38.4,36.865,37.67,3591506
2022-06-01,38.03,39.49,37.765,38.87,3869122
2022-06-02,38.74,41.66,38.21,41.33,3805940
2022-06-03,40.42,41.78,40.07,40.98,1961972
2022-06-06,41.7,42.29,41.07,41.6,2178637
2022-06-07,41.11,42.7,40.68,42.45,1879098
2022-06-08,42.36,43.86,42.14,43.77,3082689
2022-06-09,43.38,43.89,42.32,42.39,2088472
2022-06-10,41.87,41.9,40.25,41.36,2135467
2022-06-13,39.58,40.33,38.53,39.09,2327371
2022-06-14,39.16,40.065,38.48,38.82,1771176
2022-06-15,38.78,40.96,38.78,40.19,2501724
2022-06-16,39.03,39.7,37.08,37.43,1867308
2022-06-17,37.45,39.06,37.32,38.46,2590664
2022-06-21,39.1,40.63,39.1,40.09,3633874
2022-06-22,39.22,41.26,39.14,40.46,3304603
2022-06-23,41.14,42.12,40.35,41.8,2822303
2022-06-24,42.41,44.19,42.35,44.08,4063611
2022-06-27,44.02,44.4,42.54,42.63,3710624
2022-06-28,42.36,42.805,41.23,41.6,1935824
2022-06-29,41.54,41.89,40.87,41.51,1306607
2022-06-30,40.65,40.97,38.65,39.44,5628505
2022-07-01,39.45,41.03,39.3,41.01,1843496
2022-07-05,40.42,42.29,40.13,42.02,2040614
2022-07-06,42.41,42.7,40.9624,41.16,2323811
2022-07-07,41.18,42.87,40.86,42.53,1396200
2022-07-08,41.72,42.76,41.185,42.01,1196255
2022-07-11,41.46,41.95,40.06,41.35,1820544
2022-07-12,41.3,41.63,36.68,36.93,4512905
2022-07-13,35.8001,37.66,35.66,37.27,3178862
2022-07-14,36.65,37.105,35.33,35.41,2212654
2022-07-15,36.02,36.35,35.395,36.28,1500142
2022-07-18,36.84,37.52,36.15,36.28,1272740
2022-07-19,37.06,37.31,35.79,36.9,955936
2022-07-20,37.3,39.58,37,39.4,2625583
2022-07-21,39.56,40.05,38.98,39.91,2125944
2022-07-22,39.46,39.705,36.7001,37.12,3343930
2022-07-25,36.71,37,35.85,36.91,2427351
2022-07-26,36.91,36.91,35.27,35.76,3096851
2022-07-27,36.52,38.02,36.14,37.72,1726552
2022-07-28,37.17,38,36.59,37.46,2084928
2022-07-29,37.56,37.82,36.905,37.63,2096944
2022-08-01,36.98,38.17,36.03,37.49,1983548
2022-08-02,36.83,39.2,36.83,38.34,3881212
2022-08-03,38.78,42.15,38.38,40.43,5403362
2022-08-04,40.17,40.99,38.84,40.74,2843594
2022-08-05,40.15,41.78,40.1342,41.64,1781329
2022-08-08,41.6,42.93,41.6,42.06,1468200
2022-08-09,41.25,42.075,40.85,41.89,2011390
2022-08-10,43.41,44.09,43.02,43.34,1894859
2022-08-11,44.01,44.01,42.57,42.85,1427343
2022-08-12,43.45,43.97,42.82,43.3,1771768
2022-08-15,43.04,43.62,42.41,42.84,1670365
2022-08-16,42.42,42.67,41.514,42.19,1172747
2022-08-17,41.55,42,41.145,41.31,773652
2022-08-18,41.45,41.46,40.94,41.18,1025383
2022-08-19,40.68,40.72,39.42,39.63,1756851
2022-08-22,38.69,39.14,38.39,38.79,1135316
2022-08-23,38.88,39.04,38.29,38.65,1428581
2022-08-24,38.7,39.57,38.36,38.6,1337534
2022-08-25,38.99,39.15,38.495,39,1611986
2022-08-26,38.99,39.415,37.76,38.16,1375071
2022-08-29,37.5,39.05,37.2919,38.32,2465185
2022-08-30,38.72,39,37.75,38.1,1519738
2022-08-31,38.59,39.13,37.9556,38.18,2281994
2022-09-01,37.62,37.785,35.41,36.58,2775534
2022-09-02,37.32,37.35,36.44,36.75,1765387
2022-09-06,38.78,39.88,38.07,38.18,10341791
2022-09-07,37.89,39.61,37.68,39.15,3674940
2022-09-08,39.26,40.09,38.89,39.74,3272039
2022-09-09,40.27,41.21,40.27,40.73,2986903
2022-09-12,40.88,41.67,40.79,41.51,2985248
2022-09-13,39.91,40.41,39.04,39.16,3529486
2022-09-14,39.31,39.86,38.59,39.77,5061728
2022-09-15,39,41.01,38.57,38.64,5542809
2022-09-16,37.7,37.7,36.66,37.33,30710468
2022-09-19,36.77,37.21,36.51,37.1,3283283
2022-09-20,36.69,37.64,36.54,37.45,3345350
2022-09-21,37.81,37.99,35.86,35.88,2718157
2022-09-22,35.21,35.94,33.45,34.1,3327284
2022-09-23,33.5,34.03,32.43,33.21,2774618
2022-09-26,33.48,34.17,32.95,33.2,3214148
2022-09-27,34.01,34.12,33.26,33.79,2185259
2022-09-28,34,34.81,33.81,34.59,2291583
2022-09-29,34.2,34.63,33.66,34.6,2209080
2022-09-30,34.64,35.76,34.49,34.81,2385010
2022-10-03,35.17,36.21,34.93,35.89,1983950
2022-10-04,36.88,38.44,36.67,38.19,3280043
2022-10-05,37.47,38.29,36.82,38.05,1806142
2022-10-06,38.07,38.64,37.59,37.9,1964890
2022-10-07,37.07,37.14,36.07,36.42,1247072
2022-10-10,36.5,36.54,34.085,34.69,2167282
2022-10-11,34.65,34.98,33.08,34.25,2469227
2022-10-12,34.12,34.5,33.55,34.25,3002023
2022-10-13,32.87,34.35,32.09,33.9,2038545
2022-10-14,34.32,34.63,32.395,32.59,3002981
2022-10-17,33.58,35.26,33.37,34.48,3236863
2022-10-18,35.67,35.99,34.405,34.86,1773863
2022-10-19,34.51,34.85,33.555,33.65,1734102
2022-10-20,33.7,34.8,33.425,33.65,1193684
2022-10-21,33.33,33.52,32.28,33.4,2703397
2022-10-24,33.19,33.93,32.5,33.74,1965259
2022-10-25,34.13,35.42,34,35.26,1328645
2022-10-26,34.3,35.71,33.62,34.14,2298826
2022-10-27,34.63,35.92,34.63,35.31,1510926
2022-10-28,35.07,35.58,34.28,35.54,2122918
2022-10-31,35.15,35.67,34.66,35.24,2558666
2022-11-01,35.83,36,33.9,34.17,3994482
2022-11-02,31.75,34.54,31.55,32,6152374
2022-11-03,32.12,33.8,31.93,33.25,2896916
2022-11-04,33.43,33.46,31.54,32.49,2565713
2022-11-07,32.76,33.845,31.88,33.75,2776321
2022-11-08,34.14,36.205,33.35,35.36,3047229
2022-11-09,35.06,35.25,33.78,34.13,2910875
2022-11-10,39.28,39.92,36.37,36.75,4606193
2022-11-11,36.93,38.55,36.71,38.29,2931591
2022-11-14,37.96,38.09,36.65,37.4,1603981
2022-11-15,38.75,39.07,38.02,38.59,1635485
2022-11-16,37.69,38.29,37.02,37.58,1807305
2022-11-17,36.5,37.0932,36.11,36.73,1738588
2022-11-18,37.5,37.5,36.09,36.59,2181277
2022-11-21,36.09,37.04,35.955,36.81,1654117
2022-11-22,36.93,36.93,35.6,36.33,1421054
2022-11-23,36.44,37.53,36.22,36.88,1172682
2022-11-25,36.41,36.96,36.3042,36.71,490826
2022-11-28,36.41,37.08,36.33,36.78,1497739
2022-11-29,36.79,37.015,36.355,36.39,1046059
2022-11-30,35.96,38.83,35.89,38.75,2603070
2022-12-01,38.93,40.1,38.795,39.41,1782414
2022-12-02,38.66,39.4,38.545,39.06,1095064
