Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2022-01-03,20.3733,20.7559,20.0863,20.3733,1231.5825538532
2022-01-04,20.4689,20.6603,19.8951,19.9907,4476.7712186753
2022-01-05,20.3733,20.3733,19.9907,19.9907,2191.338737586
2022-01-07,20.2777,20.2777,19.9907,19.9907,1399.9058061201
2022-01-10,20.4689,20.4689,19.7994,19.7994,2756.9466846443
2022-01-11,20.0863,20.0863,19.8951,20.0863,779.93258503778
2022-01-12,20.0863,20.0863,19.8951,20.0863,3137.5036028128
2022-01-13,20.182,20.182,19.7994,19.8951,3411.4209450111
2022-01-14,19.7994,19.8951,19.6081,19.6081,5752.2641861634
2022-01-17,19.7038,19.9907,19.6081,19.9907,2908.5421602883
2022-01-18,19.9907,19.9907,19.6081,19.6081,1005.7575694455
2022-01-19,19.7038,19.9907,19.6081,19.6081,1153.1711009339
2022-01-20,19.8951,19.8951,19.4168,19.6081,2411.9362917991
2022-01-21,19.6081,19.6081,18.8429,18.9386,6300.0988705599
2022-01-24,19.0342,19.0342,17.9821,17.9821,8576.1219772988
2022-01-25,17.9343,19.2256,17.6951,18.1255,18407.872687346
2022-01-26,18.2691,18.9386,18.1733,18.9386,2714.0817570484
2022-01-27,18.9386,19.0342,18.3647,18.7951,864.61695419068
2022-01-28,19.0342,19.0342,18.2691,18.2691,3108.2299937229
2022-01-31,18.4603,18.4603,18.3647,18.3647,1365.4047668356
2022-02-01,18.2691,18.6516,18.1733,18.5081,2174.6109609632
2022-02-02,18.8429,18.8429,18.5081,18.6038,1203.3544308023
2022-02-03,18.8429,18.8429,18.6516,18.6516,246.73470518621
2022-02-04,18.6038,18.8429,18.556,18.6038,586.51766783672
2022-02-07,18.556,18.8429,18.556,18.7473,958.71069769389
2022-02-08,18.7473,19.2256,18.6516,18.9386,1952.9679207112
2022-02-09,19.1298,19.1298,18.7473,18.7473,1373.768655147
2022-02-10,18.8429,18.8429,18.6516,18.7951,1002.6211113287
2022-02-11,18.8429,18.8429,18.6516,18.7473,325.14615810556
